species_id,id,english_common_name,french_common_name,spanish_common_name,sporder,family,genus,species,mass,sd,sex,subspecies,location,name_mismatch,name_notes,not_in_dunning,close_genus,close_species,close_subspecies,close_species_notes
146,sp3201,Ruddy Ground-Dove,Colombe rousse,Columbina talpacoti,Columbiformes,Columbidae,Columbina,talpacoti,45.6,6.1,,,Venezuela,,,,,,,
151,sp3180,White-tipped Dove,Colombe de Verreaux,Leptotila verreauxi,Columbiformes,Columbidae,Leptotila,verreauxi,161,31.6,,,El Salvador,,,,,,,
151,sp3180,White-tipped Dove,Colombe de Verreaux,Leptotila verreauxi,Columbiformes,Columbidae,Leptotila,verreauxi,134,,,tobagensis,Tobago,,,,,,,
157,sp3190,White-winged Dove,Tourterelle à ailes blanches,Zenaida asiatica,Columbiformes,Columbidae,Zenaida,asiatica,153,13.2,,,"Arizona, USA",,,,,,,
159,sp3160,Mourning Dove,Tourterelle triste,Zenaida macroura,Columbiformes,Columbidae,Zenaida,macroura,123,1.8,m,,"Illinois, USA",,,,,,,
159,sp3160,Mourning Dove,Tourterelle triste,Zenaida macroura,Columbiformes,Columbidae,Zenaida,macroura,115,1.8,f,,"Illinois, USA",,,,,,,
165,sp3870,Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,Cuculiformes,Cuculidae,Coccyzus,americanus,64,9.1,,,"Pennsylvania, USA",,,,,,,
166,sp3860,Mangrove Cuckoo,Coulicou manioc,Coccyzus minor,Cuculiformes,Cuculidae,Coccyzus,minor,63.9,10.8,,,Puerto Rico,,,,,,,
167,sp3880,Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,50.9,7.3,,,"Pennsylvania, USA",,,,,,,
173,sp3850,Greater Roadrunner,Grand Géocoucou,Geococcyx californianus,Cuculiformes,Cuculidae,Geococcyx,californianus,376,90,,,,,,,,,,
174,sp3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,100,40.5,m,,"Florida, USA",,,,,,,
174,sp3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,94.8,49.6,f,,"Florida, USA",,,,,,,
174,sp3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,121,20.8,m,,Caribbean Is.,,,,,,,
174,sp3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,151,4.1,f,,Caribbean Is.,,,,,,,
174,sp3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,111,,m,,Panama,,,,,,,
174,sp3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,92.6,,f,,Panama,,,,,,,
175,sp3840,Groove-billed Ani,Ani à bec cannelé,Crotophaga sulcirostris,Cuculiformes,Cuculidae,Crotophaga,sulcirostris,87.3,4.1,m,,Mexico,,,,,,,
175,sp3840,Groove-billed Ani,Ani à bec cannelé,Crotophaga sulcirostris,Cuculiformes,Cuculidae,Crotophaga,sulcirostris,77.1,9.6,f,,Mexico,,,,,,,
196,sp4220,Black Swift,Martinet sombre,Cypseloides niger,Apodiformes,Apodidae,Cypseloides,niger,45.6,2.5,,,"California, USA",,,,,,,
196,sp4220,Black Swift,Martinet sombre,Cypseloides niger,Apodiformes,Apodidae,Cypseloides,niger,38.7,2.4,,,Western Mexico,,,,,,,
196,sp4220,Black Swift,Martinet sombre,Cypseloides niger,Apodiformes,Apodidae,Cypseloides,niger,35.4,1.9,,,Costa Rica,,,,,,,
201,sp4230,Chimney Swift,Martinet ramoneur,Chaetura pelagica,Apodiformes,Apodidae,Chaetura,pelagica,23.6,,,,"Illinois, USA",,,,,,,
202,sp4240,Vaux's Swift,Martinet de Vaux,Chaetura vauxi,Apodiformes,Apodidae,Chaetura,vauxi,17.1,1.3,,,"California, USA",,,,,,,
