"","species_id","id","genus","species","mean_mass","mean_sd","contains_estimates"
"87",657,"sp3400","Buteo","albonotatus",757,38.6466807035337,TRUE
"88",658,"sp3370","Buteo","jamaicensis",1110.25,46.9063191913219,TRUE
"89",660,"sp3470","Buteo","lagopus",956,43.5355102057767,TRUE
"90",661,"sp3480","Buteo","regalis",1469.5,53.7914183210929,TRUE
"91",703,"sp3890","Trogon","elegans",70.9,7.7,FALSE
"92",728,"sp4080","Melanerpes","lewis",106,14.3498787291717,TRUE
"93",729,"sp4060","Melanerpes","erythrocephalus",71.6,11.7277901614759,TRUE
"94",730,"sp4070","Melanerpes","formicivorus",79.65,9.2,FALSE
"95",735,"sp4110","Melanerpes","uropygialis",64.85,4.75,FALSE
"96",736,"sp4100","Melanerpes","aurifrons",80.9,6.7,FALSE
"97",737,"sp4090","Melanerpes","carolinus",69.6,10.65,FALSE
"98",738,"sp4040","Sphyrapicus","thyroideus",47.6,2.8,FALSE
"99",739,"sp4020","Sphyrapicus","varius",50.3,4.3,FALSE
"100",740,"sp4021","Sphyrapicus","nuchalis",48.5333333333333,4.6,FALSE
"101",741,"sp4030","Sphyrapicus","ruber",54.9666666666667,4.7,FALSE
"102",743,"sp4010","Picoides","dorsalis",55.15,3.6,FALSE
"103",744,"sp4000","Picoides","arcticus",69.3,11.5281783966262,TRUE
"104",746,"sp3940","Dryobates","pubescens",25.675,3.95462710202846,TRUE
"105",747,"sp3970","Dryobates","nuttallii",37.4,2.2,FALSE
"106",748,"sp3960","Dryobates","scalaris",31.6333333333333,6.35929586434246,TRUE
"107",749,"sp3950","Dryobates","borealis",48,7.6,FALSE
"108",750,"sp3930","Dryobates","villosus",63.3,4.32740423563366,TRUE
"109",751,"sp3990","Dryobates","albolarvatus",61.1,3.6,FALSE
"110",753,"sp3975","Dryobates","arizonae",46.75,5.69668138974695,TRUE
"111",757,"sp4123","Colaptes","auratus",131.666666666667,7.2,FALSE
"112",761,"sp4140","Colaptes","chrysoides",111,7.4,FALSE
"113",764,"sp4050","Dryocopus","pileatus",287.25,23.8122521101216,TRUE
"114",771,"sp3620","Caracara","cheriway",1031,57.8149494146394,TRUE
"115",773,"sp3600","Falco","sparverius",116.21,10.9830399553862,TRUE
"116",775,"sp3570","Falco","columbarius",190.5,15.65,FALSE
