"","species_id","id","genus","species","mean_mass","mean_sd","contains_estimates"
"370",1397,"sp6460","Oreothlypis","celata",9.2,0.8,FALSE
"371",1399,"sp6430","Oreothlypis","luciae",6.6,0.5,FALSE
"372",1400,"sp6450","Oreothlypis","ruficapilla",8.1,0.45,FALSE
"373",1401,"sp6440","Oreothlypis","virginiae",8.2,3.32906816649699,TRUE
"374",1402,"sp6780","Oporornis","agilis",13.3,4.61033766176676,TRUE
"375",1404,"sp6800","Geothlypis","tolmiei",10.4,1.2,FALSE
"376",1405,"sp6790","Geothlypis","philadelphia",11.75,0.7,FALSE
"377",1406,"sp6770","Geothlypis","formosa",14,4.75935304266098,TRUE
"378",1410,"sp6810","Geothlypis","trichas",9.66666666666667,1.68549413977989,TRUE
"379",1412,"sp6840","Setophaga","citrina",10.55,0.65,FALSE
"380",1413,"sp6870","Setophaga","ruticilla",8.25,0.6,FALSE
"381",1414,"sp6700","Setophaga","kirtlandii",13.95,0.9,FALSE
"382",1415,"sp6500","Setophaga","tigrina",10.05,0.6,FALSE
"383",1416,"sp6580","Setophaga","cerulea",9.05,3.6,FALSE
"384",1417,"sp6480","Setophaga","americana",7.86666666666667,1.48227194717014,TRUE
"385",1418,"sp6490","Setophaga","pitiayumi",6.83333333333333,2.01785931553449,TRUE
"386",1419,"sp6570","Setophaga","magnolia",8.15,0.5,FALSE
"387",1420,"sp6600","Setophaga","castanea",11.8,4.27355778598071,TRUE
"388",1421,"sp6620","Setophaga","fusca",9.75,1.3,FALSE
"389",1422,"sp6520","Setophaga","petechia",10.2833333333333,1.7314384923578,TRUE
"390",1423,"sp6590","Setophaga","pensylvanica",9.3,0.55,FALSE
"391",1424,"sp6610","Setophaga","striata",11.85,0.6,FALSE
"392",1425,"sp6540","Setophaga","caerulescens",10.15,3.86833878914687,TRUE
"393",1426,"sp6720","Setophaga","palmarum",10.3,0.5,FALSE
"394",1427,"sp6710","Setophaga","pinus",11.8,1.43333333333333,FALSE
"395",1430,"sp6556","Setophaga","coronata",11.95,0.775,FALSE
"396",1431,"sp6630","Setophaga","dominica",9.7,3.75123776793263,TRUE
"397",1432,"sp6730","Setophaga","discolor",7.65,0.9,FALSE
"398",1433,"sp6640","Setophaga","graciae",8.1,3.29897464527355,TRUE
"399",1434,"sp6650","Setophaga","nigrescens",8.7,0.6,FALSE
"400",1435,"sp6680","Setophaga","townsendi",8.85,0.7,FALSE
"401",1436,"sp6690","Setophaga","occidentalis",10.4,3.93329888156921,TRUE
"402",1439,"sp6660","Setophaga","chrysoparia",9.9,3.80440985655122,TRUE
"403",1440,"sp6670","Setophaga","virens",8.7,0.5,FALSE
"404",1445,"sp6860","Cardellina","canadensis",10.05,0.55,FALSE
"405",1446,"sp6850","Cardellina","pusilla",6.96666666666667,1.6,FALSE
"406",1447,"sp6900","Cardellina","rubrifrons",9.8,3.77810444662375,TRUE
"407",1450,"sp6880","Myioborus","pictus",9.8,3.77801222531949,TRUE
"408",1453,"sp6090","Piranga","flava",37.7,3.9,FALSE
"409",1454,"sp6100","Piranga","rubra",29.15,2.55,FALSE
"410",1455,"sp6080","Piranga","olivacea",28.2,7.13967255988434,TRUE
"411",1456,"sp6070","Piranga","ludoviciana",28.1,7.12569036061346,TRUE
"412",1464,"sp5930","Cardinalis","cardinalis",42.65,2.75,FALSE
"413",1465,"sp5940","Cardinalis","sinuatus",35.2,2.5,FALSE
"414",1468,"sp5950","Pheucticus","ludovicianus",42,8.86005431992044,TRUE
"415",1469,"sp5960","Pheucticus","melanocephalus",47.15,4.05,FALSE
"416",1475,"sp5970","Passerina","caerulea",27.4,2.15,FALSE
"417",1476,"sp5990","Passerina","amoena",15.5,5.06296931358426,TRUE
"418",1477,"sp5980","Passerina","cyanea",14.7,5.15,FALSE
"419",1481,"sp6000","Passerina","versicolor",12.9,1.75,FALSE
"420",1482,"sp6010","Passerina","ciris",15.55,5.07261238021639,TRUE
"421",1483,"sp6040","Spiza","americana",26.275,2.95188494409255,TRUE
