species_id,id,english_common_name,french_common_name,spanish_common_name,sporder,family,genus,species,mass,sd,sex,subspecies,location,name_mismatch,name_notes,not_in_dunning,close_genus,close_species,close_subspecies,close_species_notes
112,sp3040,White-tailed Ptarmigan,Lagopède à queue blanche,Lagopus leucura,Galliformes,Phasianidae,Lagopus,leucura,359,NA,m,NA,"Alaska, USA",NA,NA,NA,NA,NA,NA,NA
113,sp2970,Dusky Grouse,Tétras sombre,Dendragapus obscurus,Galliformes,Phasianidae,Dendragapus,obscurus,905,63.5,f,pallidus,"Washington, USA",NA,NA,NA,NA,NA,NA,NA
113,sp2970,Dusky Grouse,Tétras sombre,Dendragapus obscurus,Galliformes,Phasianidae,Dendragapus,obscurus,1212,78.4,m,pallidus,"Washington, USA",NA,NA,NA,NA,NA,NA,NA
114,sp2971,Sooty Grouse,Tétras fuligineux,Dendragapus fuliginosus,Galliformes,Phasianidae,Dendragapus,fuliginosus,839,59.7,f,NA,"British Columbia, Canada",NA,NA,NA,NA,NA,NA,NA
114,sp2971,Sooty Grouse,Tétras fuligineux,Dendragapus fuliginosus,Galliformes,Phasianidae,Dendragapus,fuliginosus,1273,87.8,m,NA,"British Columbia, Canada",NA,NA,NA,NA,NA,NA,NA
116,sp3080,Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,Galliformes,Phasianidae,Tympanuchus,phasianellus,817,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,sp3080,Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,Galliformes,Phasianidae,Tympanuchus,phasianellus,953,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,sp3050,Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,Galliformes,Phasianidae,Tympanuchus,cupido,730,NA,f,attwateri,"Texas, USA",NA,NA,NA,NA,NA,NA,NA
117,sp3050,Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,Galliformes,Phasianidae,Tympanuchus,cupido,795,NA,f,pinnatus,"Kansas, USA",NA,NA,NA,NA,NA,NA,NA
117,sp3050,Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,Galliformes,Phasianidae,Tympanuchus,cupido,813,NA,f,cupido,"Massachusetts, USA",NA,NA,NA,NA,NA,NA,NA
