"species_id","id","english_common_name","french_common_name","spanish_common_name","sporder","family","genus","species"
1435,"sp6680","Townsend's Warbler","Paruline de Townsend","Setophaga townsendi","Passeriformes","Parulidae","Setophaga","townsendi"
1446,"sp6850","Wilson's Warbler","Paruline à calotte noire","Cardellina pusilla","Passeriformes","Parulidae","Cardellina","pusilla"
1070,"sp7240","Sedge Wren","Troglodyte à bec court","Cistothorus platensis","Passeriformes","Troglodytidae","Cistothorus","platensis"
1378,"sp5090","Rusty Blackbird","Quiscale rouilleux","Euphagus carolinus","Passeriformes","Icteridae","Euphagus","carolinus"
1184,"sp7030","Northern Mockingbird","Moqueur polyglotte","Mimus polyglottos","Passeriformes","Mimidae","Mimus","polyglottos"
612,"sp3250","Turkey Vulture","Urubu à tête rouge","Cathartes aura","Cathartiformes","Cathartidae","Cathartes","aura"
739,"sp4020","Yellow-bellied Sapsucker","Pic maculé","Sphyrapicus varius","Piciformes","Picidae","Sphyrapicus","varius"
885,"sp4520","Great Crested Flycatcher","Tyran huppé","Myiarchus crinitus","Passeriformes","Tyrannidae","Myiarchus","crinitus"
1318,"sp5491","Nelson's Sparrow","Bruant de Nelson","Ammospiza nelsoni","Passeriformes","Passerellidae","Ammospiza","nelsoni"
1324,"sp5840","Swamp Sparrow","Bruant des marais","Melospiza georgiana","Passeriformes","Passerellidae","Melospiza","georgiana"
1468,"sp5950","Rose-breasted Grosbeak","Cardinal à poitrine rose","Pheucticus ludovicianus","Passeriformes","Cardinalidae","Pheucticus","ludovicianus"
232,"sp4280","Ruby-throated Hummingbird","Colibri à gorge rubis","Archilochus colubris","Apodiformes","Trochilidae","Archilochus","colubris"
962,"sp6290","Blue-headed Vireo","Viréo à tête bleue","Vireo solitarius","Passeriformes","Vireonidae","Vireo","solitarius"
966,"sp6260","Philadelphia Vireo","Viréo de Philadelphie","Vireo philadelphicus","Passeriformes","Vireonidae","Vireo","philadelphicus"
1402,"sp6780","Connecticut Warbler","Paruline à gorge grise","Oporornis agilis","Passeriformes","Parulidae","Oporornis","agilis"
1405,"sp6790","Mourning Warbler","Paruline triste","Geothlypis philadelphia","Passeriformes","Parulidae","Geothlypis","philadelphia"
1415,"sp6500","Cape May Warbler","Paruline tigrée","Setophaga tigrina","Passeriformes","Parulidae","Setophaga","tigrina"
743,"sp4010","American Three-toed Woodpecker","Pic à dos rayé","Picoides dorsalis","Piciformes","Picidae","Picoides","dorsalis"
1021,"sp6150","Violet-green Swallow","Hirondelle à face blanche","Tachycineta thalassina","Passeriformes","Hirundinidae","Tachycineta","thalassina"
1067,"sp7221","Pacific Wren","Troglodyte de Baird","Troglodytes pacificus","Passeriformes","Troglodytidae","Troglodytes","pacificus"
1392,"sp6360","Black-and-white Warbler","Paruline noir et blanc","Mniotilta varia","Passeriformes","Parulidae","Mniotilta","varia"
109,"sp2980","Spruce Grouse","Tétras du Canada","Falcipennis canadensis","Galliformes","Phasianidae","Falcipennis","canadensis"
1329,"sp5570","Golden-crowned Sparrow","Bruant à couronne dorée","Zonotrichia atricapilla","Passeriformes","Passerellidae","Zonotrichia","atricapilla"
1424,"sp6610","Blackpoll Warbler","Paruline rayée","Setophaga striata","Passeriformes","Parulidae","Setophaga","striata"
654,"sp3430","Broad-winged Hawk","Petite Buse","Buteo platypterus","Accipitriformes","Accipitridae","Buteo","platypterus"
1419,"sp6570","Magnolia Warbler","Paruline à tête cendrée","Setophaga magnolia","Passeriformes","Parulidae","Setophaga","magnolia"
