"species_id","id","genus","species","mean_mass","mean_sd","contains_estimates","contains_na"
746,"sp3940","Dryobates","pubescens",25.675,1.52495307802002,TRUE,FALSE
747,"sp3970","Dryobates","nuttallii",37.4,2.2,FALSE,FALSE
748,"sp3960","Dryobates","scalaris",31.6333333333333,2.76090181914965,TRUE,FALSE
749,"sp3950","Dryobates","borealis",48,7.6,FALSE,FALSE
750,"sp3930","Dryobates","villosus",63.3,3.43756388805175,TRUE,FALSE
751,"sp3990","Dryobates","albolarvatus",61.1,3.6,FALSE,FALSE
753,"sp3975","Dryobates","arizonae",46.75,2.71291282674345,TRUE,FALSE
757,"sp4123","Colaptes","auratus",131.666666666667,7.2,FALSE,FALSE
761,"sp4140","Colaptes","chrysoides",111,7.4,FALSE,FALSE
764,"sp4050","Dryocopus","pileatus",287.25,20.2577358311472,TRUE,FALSE
771,"sp3620","Caracara","cheriway",1031,68.1599797326119,TRUE,FALSE
773,"sp3600","Falco","sparverius",116.21,8.98079615112391,TRUE,FALSE
775,"sp3570","Falco","columbarius",190.5,15.65,FALSE,FALSE
777,"sp3590","Falco","femoralis",343.5,24.2116734244434,TRUE,FALSE
780,"sp3540","Falco","rusticolus",1461,102.578706939262,TRUE,FALSE
781,"sp3560","Falco","peregrinus",783.333333333333,57.0765198418876,TRUE,FALSE
782,"sp3550","Falco","mexicanus",734,50.95,FALSE,FALSE
783,"sp3824","Myiopsitta","monachus",120,8.48273882658171,TRUE,FALSE
786,"sp51830","Aratinga","nenday",128,9.04668153958058,TRUE,FALSE
800,"sp52021","Brotogeris","chiriri",61.6,4.36230294604883,TRUE,FALSE
815,"sp3822","Melopsittacus","undulatus",29,2,FALSE,FALSE
872,"sp4720","Camptostoma","imberbe",7.4,0.8,FALSE,FALSE
882,"sp4550","Myiarchus","tuberculifer",18.2,1.29301295920986,TRUE,FALSE
883,"sp4540","Myiarchus","cinerascens",28.2,2.00123674225999,TRUE,FALSE
885,"sp4520","Myiarchus","crinitus",32.1,2.27720864342063,TRUE,FALSE
886,"sp4530","Myiarchus","tyrannulus",36.25,2.61831161128092,TRUE,FALSE
889,"sp4490","Pitangus","sulphuratus",63.3333333333333,4.41131426790889,TRUE,FALSE
893,"sp4510","Myiodynastes","luteiventris",46.9,3.32373947557109,TRUE,FALSE
897,"sp4460","Tyrannus","melancholicus",37.4,2.9,FALSE,FALSE
898,"sp4461","Tyrannus","couchii",39,2.76525109065643,TRUE,FALSE
900,"sp4480","Tyrannus","vociferans",45.6,3.4,FALSE,FALSE
901,"sp4451","Tyrannus","crassirostris",55.9,3.95968403335856,TRUE,FALSE
902,"sp4470","Tyrannus","verticalis",39.6,2.8,FALSE,FALSE
904,"sp4440","Tyrannus","tyrannus",39.925,2.75,FALSE,FALSE
905,"sp4450","Tyrannus","dominicensis",46.5,5,FALSE,FALSE
907,"sp4430","Tyrannus","forficatus",39.3,2.78646472348034,TRUE,FALSE
912,"sp4590","Contopus","cooperi",32.1,2.3,FALSE,FALSE
913,"sp4600","Contopus","pertinax",27.2,3.3,FALSE,FALSE
914,"sp4620","Contopus","sordidulus",13.1,0.8,FALSE,FALSE
915,"sp4610","Contopus","virens",13.9,0.7,FALSE,FALSE
918,"sp4630","Empidonax","flaviventris",11.8,1,FALSE,FALSE
919,"sp4650","Empidonax","virescens",12.6,0.7,FALSE,FALSE
920,"sp4661","Empidonax","alnorum",12.6,1.1,FALSE,FALSE
921,"sp4660","Empidonax","traillii",13.4,1.45,FALSE,FALSE
924,"sp4670","Empidonax","minimus",10,0.8,FALSE,FALSE
925,"sp4680","Empidonax","hammondii",10.45,0.75,FALSE,FALSE
926,"sp4691","Empidonax","wrightii",12.3,0.7,FALSE,FALSE
927,"sp4690","Empidonax","oberholseri",10.4,0.6,FALSE,FALSE
930,"sp4641","Empidonax","difficilis",10.7,0.9,FALSE,FALSE
931,"sp4640","Empidonax","occidentalis",11.6,1.2,FALSE,FALSE
936,"sp4580","Sayornis","nigricans",18.65,1,FALSE,FALSE
937,"sp4560","Sayornis","phoebe",19.7,1.4,FALSE,FALSE
938,"sp4570","Sayornis","saya",20.9,2.5,FALSE,FALSE
939,"sp4710","Pyrocephalus","rubinus",14.4,1.0237602699715,TRUE,FALSE
941,"sp6220","Lanius","ludovicianus",51.75,1.9,FALSE,FALSE
942,"sp6210","Lanius","borealis",63.45,4.3,FALSE,FALSE
950,"sp6300","Vireo","atricapilla",9,0.4,FALSE,FALSE
